,Neighbourhood,BPL
21,Greater Roland Park/Poplar Hill,2.6
4,Canton,2.8
15,Fells Point,3.5
47,South Baltimore,4.3
29,Inner Harbor/Federal Hill,5.3
38,North Baltimore/Guilford/Homeland,5.3
37,Mount Washington/Coldspring,6.0
33,Medfield/Hampden/Woodberry/Remington,8.3
30,Lauraville,8.3
24,Hamilton,8.5
34,Midtown,8.7
10,Cross-Country/Cheswolde,9.1
39,Northwood,9.3
26,Harford/Echodale,11.0
1,Beechfield/Ten Hills/West Hills,11.8
36,Morrell Park/Violetville,12.1
41,Orangeville/East Highlandtown,12.3
27,Highlandtown,12.5
7,Chinquapin Park/Belvedere,12.5
31,Loch Raven,13.7
20,Greater Mondawmin,14.6
13,Downtown/Seton Hill,15.8
8,Claremont/Armistead,16.5
51,The Waverlies,16.8
17,Glen-Fallstaff,16.9
5,Cedonia/Frankford,17.4
28,Howard Park/West Arlington,18.0
2,Belair-Edison,18.1
12,Dorchester/Ashburton,18.4
19,Greater Govans,19.2
44,Pimlico/Arlington/Hilltop,19.9
16,Forest Park/Walbrook,20.5
14,Edmondson Village,21.1
22,Greater Rosemont,21.7
11,Dickeyville/Franklintown,21.8
0,Allendale/Irvington/S. Hilton,23.1
53,Washington Village/Pigtown,25.1
48,Southeastern,25.6
18,Greater Charles Village/Barclay,25.8
42,Patterson Park North & East,26.0
35,Midway/Coldstream,26.6
23,Greenmount East,27.7
54,Westport/Mount Winans/Lakeland,28.0
3,Brooklyn/Curtis Bay/Hawkins Point,28.4
32,Madison/East End,29.3
9,Clifton-Berea,29.7
43,Penn North/Reservoir Hill,31.1
46,Sandtown-Winchester/Harlem Park,33.3
50,Southwest Baltimore,35.4
49,Southern Park Heights,36.6
25,Harbor East/Little Italy,39.6
6,Cherry Hill,41.8
52,Upton/Druid Heights,49.5
40,Oldtown/Middle East,51.4
45,Poppleton/The Terraces/Hollins Market,52.2
