CSA2010,TOM,Crime,Restaurant,Education,Diversity,Price
Allendale/Irvington/S. Hilton,43,55.1,9,83.7,24.1380623792,33250
Beechfield/Ten Hills/West Hills,49,46.6,1,87.6,37.40337765,130000
Belair-Edison,39,56.6,10,79.7,25.8070713471,41975
Brooklyn/Curtis Bay/Hawkins Point,36,54.9,37,74.6,67.7402521129,40000
Canton,30,46.5,90,76.6,29.3194465221,275000
Cedonia/Frankford,45,52.3,16,83.4,38.6836299592,78575
Cherry Hill,38,53.5,4,76,12.6534848938,23500
Chinquapin Park/Belvedere,36,47.7,12,80.2,50.6990360079,120000
Claremont/Armistead,57,46.3,2,79.5,67.9144202314,90000
Clifton-Berea,32,55,17,62.9,9.1074670244,20000
Cross-Country/Cheswolde,35,14.6,1,85.9,45.4883814641,165000
Dickeyville/Franklintown,126,29.3,1,61.8,24.7664166186,227550
Dorchester/Ashburton,40,56.4,1,84.2,9.7500954563,86250
Downtown/Seton Hill,88,243.3,135,90.3,69.8372945638,235250
Edmondson Village,39,38.9,1,77.3,8.6714203565,55000
Fells Point,33,71,105,80.1,56.5594623889,249000
Forest Park/Walbrook,49,50,1,81.5,12.0038487357,65500
Glen-Fallstaff,47,51.8,26,82.1,57.6987321244,87500
Greater Charles Village/Barclay,41,68.8,35,80.7,68.722021576,189900
Greater Govans,44,39.9,2,84.2,19.8410826689,50600
Greater Mondawmin,33,102.9,8,87.3,9.5051434224,40500
Greater Roland Park/Poplar Hill,36,28.2,19,87.9,39.9886183465,310000
Greater Rosemont,54,63,23,76.4,8.7927587385,20000
Greenmount East,72,66.5,9,67.8,10.2899919722,30000
Hamilton,45,50.1,7,79,56.3626746507,106000
Harbor East/Little Italy,55,159.4,33,64.2,62.8574581431,298000
Harford/Echodale,47,44.2,9,82.3,58.1143897539,123999
Highlandtown,41,88.8,32,70.5,63.8416175683,265000
Howard Park/West Arlington,34,45.3,7,78.5,13.8970094969,70000
Inner Harbor/Federal Hill,28,79.3,179,67,37.1692095588,320000
Lauraville,46,38.9,9,85.1,55.7318394997,132000
Loch Raven,34,43.7,3,85.8,25.5090031669,73100
Madison/East End,61,71.8,8,66.5,24.3692221912,25000
Medfield/Hampden/Woodberry/Remington,29,51.5,43,75.9,41.4894015862,175000
Midtown,33,84.2,87,74.7,62.8561259411,200000
Midway/Coldstream,28,69.9,9,82.5,10.7636690647,17005
Morrell Park/Violetville,35,58.8,17,80.6,47.515148655,69000
Mount Washington/Coldspring,34,30,1,88.6,50.4352941176,287000
North Baltimore/Guilford/Homeland,33,29.9,23,71,43.4959009179,325000
Northwood,36,41.8,4,83.3,23.7172928324,90000
Oldtown/Middle East,35,82.6,27,76.9,22.005811138,149900
Orangeville/East Highlandtown,37,81,63,78.8,78.7247470489,90000
Patterson Park North & East,28,79.5,7,79.8,77.9960214021,172000
Penn North/Reservoir Hill,36,59.6,8,76.1,20.4479671184,65000
Pimlico/Arlington/Hilltop,48,55.7,18,75.6,13.1648955661,30000
Poppleton/The Terraces/Hollins Market,27,82,9,72.8,32.0165210154,73600
Sandtown-Winchester/Harlem Park,39,63.1,6,75.5,8.4873715125,18000
South Baltimore,23,49.8,15,82.9,20.363224027,289900
Southeastern,65,83.7,11,71.1,74.5063257066,75000
Southern Park Heights,47,51.6,3,78.7,10.5004306775,19900
Southwest Baltimore,54,80.7,36,71.1,44.1592976396,23250
The Waverlies,54,75.2,8,74.3,38.7716085555,79950
Upton/Druid Heights,31,77.9,7,70.8,16.6380437135,71202
Washington Village/Pigtown,36,139.4,3,89.9,62.2061975939,113000
Westport/Mount Winans/Lakeland,30,71.2,6,73.6,63.0652741514,35500
