,0
Downtown/Seton Hill,3.74956485042
Harbor East/Little Italy,1.1603439581
Inner Harbor/Federal Hill,1.07447274821
Midtown,0.751495659005
Fells Point,0.730515155594
Washington Village/Pigtown,0.682168638235
Dickeyville/Franklintown,0.590957586544
Mount Washington/Coldspring,0.386896481186
South Baltimore,0.381653732739
Greater Roland Park/Poplar Hill,0.349679411628
Highlandtown,0.329329335778
Greater Charles Village/Barclay,0.279924448452
Canton,0.271830216523
Southeastern,0.204255363471
Medfield/Hampden/Woodberry/Remington,0.179143238263
North Baltimore/Guilford/Homeland,0.159458445922
Orangeville/East Highlandtown,0.100903102062
Oldtown/Middle East,0.0718733652438
The Waverlies,0.0390505205809
Claremont/Armistead,-0.00614263839454
Glen-Fallstaff,-0.00961055526804
Patterson Park North & East,-0.0154985597559
Lauraville,-0.026630897399
Beechfield/Ten Hills/West Hills,-0.0267623795649
Harford/Echodale,-0.095128907933
Chinquapin Park/Belvedere,-0.13370604226
Greater Mondawmin,-0.151347168063
Hamilton,-0.156786576207
Cross-Country/Cheswolde,-0.181600819517
Morrell Park/Violetville,-0.212859259041
Cedonia/Frankford,-0.228490091666
Southwest Baltimore,-0.241177718219
Loch Raven,-0.307966815612
Dorchester/Ashburton,-0.31091564123
Northwood,-0.316548789146
Greenmount East,-0.324075521176
Greater Govans,-0.348827307965
Allendale/Irvington/S. Hilton,-0.357963378974
Westport/Mount Winans/Lakeland,-0.362867420979
Forest Park/Walbrook,-0.372503205449
Belair-Edison,-0.385798939258
Madison/East End,-0.393987875257
Upton/Druid Heights,-0.40129223218
Cherry Hill,-0.401520463875
Poppleton/The Terraces/Hollins Market,-0.422559042694
Greater Rosemont,-0.429072080799
Penn North/Reservoir Hill,-0.457540006952
Brooklyn/Curtis Bay/Hawkins Point,-0.459933916784
Pimlico/Arlington/Hilltop,-0.496909849136
Southern Park Heights,-0.528109585552
Howard Park/West Arlington,-0.551460118998
Midway/Coldstream,-0.559953701415
Edmondson Village,-0.565183550203
Sandtown-Winchester/Harlem Park,-0.595917255289
Clifton-Berea,-0.845473394736
