CSA2010,Score,art_score,diversity_score
Inner Harbor/Federal Hill,3.05205956467954,7.415357435053793,-1.6403261188585312
South Baltimore,3.0342211149077496,1.9472044711919005,-2.46087630899728
North Baltimore/Guilford/Homeland,2.800940324436718,-1.2085889194115007,0.6866131156928037
Greater Roland Park/Poplar Hill,2.4573907555793504,-0.5008181881610783,-0.43803121015090596
Canton,2.4479859151685956,0.18298545479383052,-1.5467453519339789
Mount Washington/Coldspring,2.3328140895128597,-1.0689152658351329,1.3574103340001495
Fells Point,1.9865664423207607,2.6127860415828916,-0.8433360712826112
Highlandtown,1.6704992244707677,-0.19617585512897578,-0.6715579559661682
Patterson Park North & East,1.4661735837168868,-1.1990122458236283,0.46337452922241784
Midtown,1.4615095972723149,4.5955535644747485,0.3130856883296739
Medfield/Hampden/Woodberry/Remington,1.4373806273029528,2.914932975753535,-0.3625192046879261
Harbor East/Little Italy,1.170958822319855,2.907296705416573,0.32512498612405116
Cross-Country/Cheswolde,0.9645904059345228,-1.9055070595758807,0.7099037561334958
Greater Charles Village/Barclay,0.8657692435903941,1.4831473036318243,-0.6250994404308585
Oldtown/Middle East,0.8027871740930629,0.5977782220175725,-0.2047106853838877
Poppleton/The Terraces/Hollins Market,0.4727130091589484,-0.6457366179854791,-0.5508508786763218
Chinquapin Park/Belvedere,0.42145605028945815,-1.3368518992856446,1.043427407563739
Washington Village/Pigtown,0.34644792956825154,4.794599750935808,-0.16549736784175018
Upton/Druid Heights,0.203260194625508,-0.1496149283006658,-0.15978185998317407
Northwood,0.09999267577000144,-1.3046622280666615,-0.023390726238316284
Loch Raven,0.04078022918913338,-2.1749112303226994,0.8829668286770795
Orangeville/East Highlandtown,0.039053381904121776,0.9132374891120498,-0.14424390158846778
Howard Park/West Arlington,0.007562347155456228,-2.096815754106166,-0.6537946577719409
Lauraville,-0.05935153856155542,-1.2565185586879972,0.6688378133287665
Morrell Park/Violetville,-0.06409239252773867,-0.7332924325883484,0.14389573925125948
Westport/Mount Winans/Lakeland,-0.11836335807840047,0.6943075146293445,0.40488386289990697
Penn North/Reservoir Hill,-0.1678934696628791,-0.6897220686936022,-0.7958890495512388
Dorchester/Ashburton,-0.18394742150844912,-2.1517842527903217,-0.3656638386588985
Midway/Coldstream,-0.19466694073788626,-0.8456437624207591,-1.0965266364231678
Harford/Echodale,-0.20602511441177412,-1.846370439118167,0.6206359989939078
Greater Mondawmin,-0.24760401058946324,-1.648657897554175,0.1181256837395055
Beechfield/Ten Hills/West Hills,-0.2636003117938248,-2.2474939776319474,0.47588412121422635
Hamilton,-0.2770138359458716,-1.856213023492887,0.9748729475209357
Clifton-Berea,-0.4063313559785456,-1.3927404321779866,-0.7782765248583234
Brooklyn/Curtis Bay/Hawkins Point,-0.4357796150957597,-1.7967376667400718,0.3931819280886698
Edmondson Village,-0.4578658094336703,-2.096644543019613,-0.2231324476335057
Cedonia/Frankford,-0.5708849374857415,-2.133793989408522,0.3567306966006663
Glen-Fallstaff,-0.5971281712979625,-1.3448141822638826,1.3600387067625137
Belair-Edison,-0.5974344912042011,-0.7937537604651392,-0.019956476777991727
Cherry Hill,-0.7344630588132202,-1.7549924460492285,1.595576108964746
Greater Govans,-0.8097102403592553,-1.1425308134801215,0.013673628202334198
Sandtown-Winchester/Harlem Park,-0.8543373046743334,-0.8576307369760465,-0.9872560181059836
Allendale/Irvington/S. Hilton,-0.9346839314237948,-1.8034965726988141,0.18255561539868337
Forest Park/Walbrook,-0.9547465670106569,-1.9437116440200553,-0.6786702466709624
The Waverlies,-1.1046048442798495,0.3848250881384234,1.1518057448994794
Claremont/Armistead,-1.1797324954134707,-1.9402922591436187,1.9671639081528596
Pimlico/Arlington/Hilltop,-1.2742055996594674,-1.4174322812712024,-0.9759485565624124
Southern Park Heights,-1.3214923085484716,-1.5272615289634635,-0.7779934816979196
Downtown/Seton Hill,-1.512432100290703,21.671919619108564,0.46226139941593325
Southwest Baltimore,-1.712170622121623,1.0573658148296754,-0.5113920732451782
Greater Rosemont,-1.7469958210278973,-1.2242116368883789,-0.9248841414292366
Southeastern,-1.8279785336002359,-0.414617109105324,1.2959691482634141
Madison/East End,-2.1199936490024784,-0.7839508456351145,-0.4258761719686477
Greenmount East,-2.7367486524405784,-0.7912881333344453,-0.8814540427172609
Dickeyville/Franklintown,-3.9106341999874563,-1.950090264047813,1.3653223268111738
