,Community,Difference,Ratio
0,Allendale/Irvington/S. Hilton,83.7,33.19230769230769
1,Baltimore City,78.7,40.35
2,Beechfield/Ten Hills/West Hills,87.60000000000001,49.66666666666667
3,Belair-Edison,79.69999999999999,42.94736842105263
4,Brooklyn/Curtis Bay/Hawkins Point,74.6,22.941176470588236
5,Canton,76.6,23.529411764705884
6,Cedonia/Frankford,83.4,76.81818181818181
7,Cherry Hill,76.0,28.142857142857142
8,Chinquapin Park/Belvedere,80.2,115.57142857142858
9,Claremont/Armistead,79.5,47.76470588235294
10,Clifton-Berea,62.89999999999999,29.590909090909086
11,Cross-Country/Cheswolde,85.9,43.95
12,Dickeyville/Franklintown,61.800000000000004,19.176470588235297
13,Dorchester/Ashburton,84.2,71.16666666666667
14,Downtown/Seton Hill,90.3,91.3
15,Edmondson Village,77.3,41.684210526315795
16,Fells Point,80.1,26.031249999999996
17,Forest Park/Walbrook,81.5,91.55555555555556
18,Glen-Fallstaff,82.10000000000001,75.63636363636363
19,Greater Charles Village/Barclay,80.7,37.68181818181818
20,Greater Govans,84.2,43.1
21,Greater Mondawmin,87.30000000000001,80.36363636363636
22,Greater Roland Park/Poplar Hill,87.9,88.9
23,Greater Rosemont,76.4,30.384615384615383
24,Greenmount East,67.8,20.37142857142857
25,Hamilton,79.0,66.83333333333334
26,Harbor East/Little Italy,64.2,129.4
27,Harford/Echodale,82.3,92.44444444444444
28,Highlandtown,70.5,21.73529411764706
29,Howard Park/West Arlington,78.5,113.14285714285715
30,Inner Harbor/Federal Hill,67.0,19.61111111111111
31,Lauraville,85.10000000000001,66.46153846153847
32,Loch Raven,85.8,108.24999999999999
33,Madison/East End,66.5,24.75
34,Medfield/Hampden/Woodberry/Remington,75.9,17.866666666666667
35,Midtown,74.7,19.21951219512195
36,Midway/Coldstream,82.5,34.0
37,Morrell Park/Violetville,80.6,24.705882352941178
38,Mount Washington/Coldspring,88.6,64.28571428571429
39,North Baltimore/Guilford/Homeland,71.0,34.8095238095238
40,Northwood,83.30000000000001,76.72727272727272
41,Oldtown/Middle East,76.89999999999999,35.954545454545446
42,Orangeville/East Highlandtown,78.8,25.625
43,Patterson Park North & East,79.80000000000001,50.875
44,Penn North/Reservoir Hill,76.1,39.05
45,Pimlico/Arlington/Hilltop,75.60000000000001,69.72727272727272
46,Poppleton/The Terraces/Hollins Market,72.80000000000001,21.222222222222225
47,Sandtown-Winchester/Harlem Park,75.5,40.736842105263165
48,South Baltimore,82.9,11.3625
49,Southeastern,71.10000000000001,45.4375
50,Southern Park Heights,78.7,40.35
51,Southwest Baltimore,71.10000000000001,23.935483870967744
52,The Waverlies,74.3,17.51111111111111
53,Upton/Druid Heights,70.8,26.285714285714285
54,Washington Village/Pigtown,89.9,45.95
55,Westport/Mount Winans/Lakeland,73.6,53.57142857142858
