,Neighborhood,Count,Count_zscore,Population,Count_per_pop,Count_per_pop_zscore
0,Allendale/Irvington/S. Hilton,9,-0.4242529837897789,16217,0.000554973176296479,-0.4766344537391539
1,Beechfield/Ten Hills/West Hills,1,-0.6536959240026184,12264,8.153946510110893e-05,-0.5986653825368876
2,Belair-Edison,10,-0.3955726162631739,17416,0.0005741846577859439,-0.4716825568329946
3,Brooklyn/Curtis Bay/Hawkins Point,37,0.3787973069551597,14243,0.002597767324299656,0.04991036410659458
4,Canton,90,1.8988567858652219,8100,0.011111111111111112,2.2442856798312123
5,Cedonia/Frankford,16,-0.22349041110354423,23557,0.0006792036337394406,-0.44461316385581495
6,Cherry Hill,4,-0.5676548214228037,8202,0.000487685930260912,-0.49397822317464607
7,Chinquapin Park/Belvedere,12,-0.33821188120996404,7756,0.0015471892728210418,-0.2208836506938081
8,Claremont/Armistead,2,-0.6250155564760135,8231,0.0002429838415745353,-0.5570519385755783
9,Clifton-Berea,17,-0.1948100435769393,9874,0.0017216933360340288,-0.1759039789693509
10,Dickeyville/Franklintown,1,-0.6536959240026184,4101,0.000243842965130456,-0.5568304933278028
11,Downtown/Seton Hill,135,3.1894733245624445,6446,0.020943220601923673,4.778582297990167
12,Edmondson Village,1,-0.6536959240026184,7900,0.00012658227848101267,-0.5870552748862637
13,Fells Point,105,2.3290622987642964,9039,0.011616329239960173,2.374509269852376
14,Forest Park/Walbrook,1,-0.6536959240026184,9849,0.0001015331505736623,-0.5935118669535864
15,Glen-Fallstaff,26,0.06331326416250525,14914,0.0017433284162531849,-0.17032738213789375
16,Greater Charles Village/Barclay,35,0.3214365719019498,16391,0.0021353181624061985,-0.06928921846031758
17,Greater Govans,2,-0.6250155564760135,10681,0.00018724838498267952,-0.5714181515723187
18,Greater Mondawmin,8,-0.4529333513163838,9322,0.0008581849388543231,-0.3984794509745484
19,Greater Roland Park/Poplar Hill,19,-0.13744930852372939,7377,0.0025755727260403957,0.044189547494208406
20,Greater Rosemont,23,-0.02272783841730959,19259,0.0011942468456306143,-0.31185708833395304
21,Greenmount East,9,-0.4242529837897789,8184,0.0010997067448680353,-0.33622547620299514
22,Hamilton,7,-0.48161371884298876,13002,0.0005383787109675435,-0.4809117959923678
23,Harbor East/Little Italy,33,0.2640758368487399,5407,0.006103199556130942,0.9534606203986687
24,Harford/Echodale,9,-0.4242529837897789,16839,0.0005344735435595938,-0.4819183808523675
25,Highlandtown,32,0.23539546932213495,7250,0.004413793103448276,0.5180040112416687
26,Howard Park/West Arlington,7,-0.48161371884298876,10873,0.0006437965602869493,-0.45373959054923235
27,Inner Harbor/Federal Hill,179,4.4514094957330625,12855,0.013924542979385453,2.9694678877643983
28,Lauraville,9,-0.4242529837897789,12273,0.0007333170373991689,-0.43066504661606414
29,Loch Raven,3,-0.5963351889494085,15311,0.0001959375612304879,-0.5691784541808296
30,Madison/East End,8,-0.4529333513163838,7781,0.0010281454825857858,-0.3546709039275905
31,Medfield/Hampden/Woodberry/Remington,43,0.5508795121147894,17388,0.0024729698642742123,0.017742925247940092
32,Midtown,87,1.8128156832854072,15020,0.005792276964047936,0.8733180961151991
33,Midway/Coldstream,9,-0.4242529837897789,9624,0.0009351620947630922,-0.3786380378904712
34,Morrell Park/Violetville,17,-0.1948100435769393,8964,0.0018964747880410532,-0.130852808297155
35,Mount Washington/Coldspring,1,-0.6536959240026184,5168,0.0001934984520123839,-0.5698071520455693
36,North Baltimore/Guilford/Homeland,23,-0.02272783841730959,17464,0.0013169949610627577,-0.2802178827173202
37,Northwood,4,-0.5676548214228037,16643,0.0002403412846241663,-0.5577330765499744
38,Oldtown/Middle East,27,0.0919936316891102,10021,0.0026943418820477,0.07480314783014495
39,Orangeville/East Highlandtown,63,1.1244868626468885,9131,0.006899572883583397,1.1587315475014095
40,Patterson Park North & East,7,-0.48161371884298876,14549,0.0004811327238985497,-0.4956673590348347
41,Penn North/Reservoir Hill,8,-0.4529333513163838,9668,0.0008274720728175424,-0.4063959120965196
42,Pimlico/Arlington/Hilltop,18,-0.16612967605033432,11816,0.0015233581584292485,-0.22702629105664338
43,Poppleton/The Terraces/Hollins Market,9,-0.4242529837897789,5086,0.0017695635076681085,-0.1635650994851161
44,Sandtown-Winchester/Harlem Park,6,-0.5102940863695937,14896,0.00040279269602577875,-0.5158600621256578
45,South Baltimore,15,-0.2521707786301492,6406,0.0023415547923821417,-0.016130250450764053
46,Southeastern,11,-0.36689224873656895,6260,0.001757188498402556,-0.16675484672711754
47,Southern Park Heights,3,-0.5963351889494085,13284,0.00022583559168925022,-0.5614720227632323
48,Southwest Baltimore,36,0.35011693942855476,17885,0.0020128599384959464,-0.1008537024615892
49,The Waverlies,8,-0.4529333513163838,7753,0.0010318586353669547,-0.3537138122124487
50,Upton/Druid Heights,7,-0.48161371884298876,10342,0.0006768516727905628,-0.4452193986301889
51,Washington Village/Pigtown,3,-0.5963351889494085,5503,0.0005451571869889151,-0.47916459526466165
52,Westport/Mount Winans/Lakeland,6,-0.5102940863695937,7119,0.0008428150021070375,-0.4024411622183421
