Allendale/Irvington/S. Hilton,35958.25
Beechfield/Ten Hills/West Hills,52622.69
Belair-Edison,38905.92
Brooklyn/Curtis Bay/Hawkins Point,35861.9
Canton,91735.65
Cedonia/Frankford,39306.14
Cherry Hill,22658.56
Chinquapin Park/Belvedere,44252.62
Claremont/Armistead,34034.15
Clifton-Berea,25737.95
Cross-Country/Cheswolde,54867.93
Dickeyville/Franklintown,32768
Dorchester/Ashburton,36870.32
Downtown/Seton Hill,44819.4
Edmondson Village,36647.72
Fells Point,77433.38
Forest Park/Walbrook,37160.58
Glen-Fallstaff,39694.18
Greater Charles Village/Barclay,30845.24
Greater Govans,36530.7
Greater Mondawmin,38655.18
Greater Roland Park/Poplar Hill,104481.89
Greater Rosemont,30864.86
Greenmount East,23276.9
Hamilton,63986
Harbor East/Little Italy,36578.63
Harford/Echodale,54085.61
Highlandtown,71660.18
Howard Park/West Arlington,39467.86
Inner Harbor/Federal Hill,88854.21
Lauraville,66195.71
Loch Raven,47992.1
Madison/East End,27454.05
Medfield/Hampden/Woodberry/Remington,58210
Midtown,38866.8
Midway/Coldstream,34522.9
Morrell Park/Violetville,38209.59
Mount Washington/Coldspring,76262.58
North Baltimore/Guilford/Homeland,81450.63
Northwood,58265.65
Oldtown/Middle East,14105.44
Orangeville/East Highlandtown,40430.66
Patterson Park North & East,56651.51
Penn North/Reservoir Hill,33263.81
Pimlico/Arlington/Hilltop,32409.83
Poppleton/The Terraces/Hollins Market,17228.33
Sandtown-Winchester/Harlem Park,24374.13
South Baltimore,88487.05
Southeastern,32102.23
Southern Park Heights,26015.22
Southwest Baltimore,24946.04
The Waverlies,32651.91
Upton/Druid Heights,15949.56
Washington Village/Pigtown,48175.04
Westport/Mount Winans/Lakeland,41367.65
